Crop,Acres,Fips,County name,State Abb,State Name,FRIS Demand,Avg water use
Pistachios,5.6,4001,Apache County,AZ,ARIZONA,NA,NA
Corn,1.1,4001,Apache County,AZ,ARIZONA,4.7,5.17
Alfalfa,20827.9,4003,Cochise County,AZ,ARIZONA,5.8,120801.82
Corn,16914.4,4003,Cochise County,AZ,ARIZONA,4.7,79497.68
Pecans,14078.5,4003,Cochise County,AZ,ARIZONA,4.3,60537.55
Winter Wheat,10757.9,4003,Cochise County,AZ,ARIZONA,3.6,38728.44
Cotton,4338.9,4003,Cochise County,AZ,ARIZONA,4.6,19958.94
Sorghum,2275.8,4003,Cochise County,AZ,ARIZONA,4.4,10013.52
Pecans,8.5,4005,Coconino County,AZ,ARIZONA,4.3,36.55
Alfalfa,6.7,4005,Coconino County,AZ,ARIZONA,5.8,38.86
Alfalfa,430.1,4007,Gila County,AZ,ARIZONA,5.8,2494.58
Cotton,24279.7,4009,Graham County,AZ,ARIZONA,4.6,111686.62
Alfalfa,7295,4009,Graham County,AZ,ARIZONA,5.8,42311
Corn,2607.1,4009,Graham County,AZ,ARIZONA,4.7,12253.37
Winter Wheat,2481.5,4009,Graham County,AZ,ARIZONA,3.6,8933.4
Dry Beans,1818.3,4009,Graham County,AZ,ARIZONA,2.3,4182.09
Alfalfa,1301.7,4011,Greenlee County,AZ,ARIZONA,5.8,7549.86
Pecans,1004.1,4011,Greenlee County,AZ,ARIZONA,4.3,4317.63
Cotton,911.8,4011,Greenlee County,AZ,ARIZONA,4.6,4194.28
Other Hay_Non Alfalfa,487.3,4011,Greenlee County,AZ,ARIZONA,5.8,2826.34
Barley,153,4011,Greenlee County,AZ,ARIZONA,4.8,734.4
Alfalfa,76956.6,4012,La Paz County,AZ,ARIZONA,5.8,446348.28
Cotton,9338.1,4012,La Paz County,AZ,ARIZONA,4.6,42955.26
Other Hay_Non Alfalfa,5169.6,4012,La Paz County,AZ,ARIZONA,5.8,29983.68
Alfalfa,153896.2,4013,Maricopa County,AZ,ARIZONA,5.8,892597.96
Cotton,17226,4013,Maricopa County,AZ,ARIZONA,4.6,79239.6
Winter Wheat,14983.4,4013,Maricopa County,AZ,ARIZONA,3.6,53940.24
Corn,11479.1,4013,Maricopa County,AZ,ARIZONA,4.7,53951.77
Millet,7033.9,4013,Maricopa County,AZ,ARIZONA,1,7033.9
Barley,6462.1,4013,Maricopa County,AZ,ARIZONA,4.8,31018.08
Other Hay_Non Alfalfa,4780.4,4013,Maricopa County,AZ,ARIZONA,5.8,27726.32
Alfalfa,15774,4015,Mohave County,AZ,ARIZONA,5.8,91489.2
Cotton,2762.6,4015,Mohave County,AZ,ARIZONA,4.6,12707.96
Winter Wheat,1388.4,4015,Mohave County,AZ,ARIZONA,3.6,4998.24
Cotton,11034.1,4019,Pima County,AZ,ARIZONA,4.6,50756.86
Winter Wheat,6198.4,4019,Pima County,AZ,ARIZONA,3.6,22314.24
Alfalfa,5815.2,4019,Pima County,AZ,ARIZONA,5.8,33728.16
Alfalfa,98486.4,4021,Pinal County,AZ,ARIZONA,5.8,571221.12
Cotton,94787.3,4021,Pinal County,AZ,ARIZONA,4.6,436021.58
Winter Wheat,19417.5,4021,Pinal County,AZ,ARIZONA,3.6,69903
Corn,15772.9,4021,Pinal County,AZ,ARIZONA,4.7,74132.63
Other Hay_Non Alfalfa,4463,4021,Pinal County,AZ,ARIZONA,5.8,25885.4
Alfalfa,810.2,4023,Santa Cruz County,AZ,ARIZONA,5.8,4699.16
Other Hay_Non Alfalfa,262,4023,Santa Cruz County,AZ,ARIZONA,5.8,1519.6
Pistachios,209.9,4023,Santa Cruz County,AZ,ARIZONA,NA,NA
Alfalfa,1611,4025,Yavapai County,AZ,ARIZONA,5.8,9343.8
Winter Wheat,141.2,4025,Yavapai County,AZ,ARIZONA,3.6,508.32
Alfalfa,45670.5,4027,Yuma County,AZ,ARIZONA,5.8,264888.9
Other Hay_Non Alfalfa,14447.9,4027,Yuma County,AZ,ARIZONA,5.8,83797.82
Winter Wheat,937.2,6001,Alameda County,CA,CALIFORNIA,3.6,3373.92
Alfalfa,691.4,6001,Alameda County,CA,CALIFORNIA,5.8,4010.12
Oats,488.8,6001,Alameda County,CA,CALIFORNIA,NA,NA
Grapes,350.3,6001,Alameda County,CA,CALIFORNIA,NA,NA
Other Hay_Non Alfalfa,335.1,6001,Alameda County,CA,CALIFORNIA,5.8,1943.58
Other Hay_Non Alfalfa,191.3,6003,Alpine County,CA,CALIFORNIA,5.8,1109.54
Alfalfa,189.3,6003,Alpine County,CA,CALIFORNIA,5.8,1097.94
Other Hay_Non Alfalfa,926.7,6005,Amador County,CA,CALIFORNIA,5.8,5374.86
Winter Wheat,736.3,6005,Amador County,CA,CALIFORNIA,3.6,2650.68
