"","STATE","STATEFIPS","COUNTY","COUNTYFIPS","FIPS","YEAR","PS-WGWTo","DO-WGWFr","IN-WGWTo","IR-WGWFr","IC-WGWFr","IG-WGWFr","LI-WGWFr","AQ-WGWTo","MI-WGWTo","PT-WGWTo","Max_value","Max_sector","GW_other_sectors","PCT_irrigation"
"1","AZ","04","Apache County","001","04001","2015",5.77,1.99,0,0.12,0.12,0,0.71,1.44,0,19.74,19.74,"PT-WGWTo",29.65,0.4
"2","AZ","04","Cochise County","003","04003","2015",16.15,2.89,0.02,217.57,216.14,1.43,0.68,0,0.02,3.52,217.57,"IR-WGWFr",23.28,934.58
"3","AZ","04","Coconino County","005","04005","2015",16.22,1.05,0.01,0.28,0.12,0.16,0.69,0.02,0.02,0,16.22,"PS-WGWTo",18.01,1.55
"4","AZ","04","Gila County","007","04007","2015",4.82,0.88,0.03,1.96,1.1,0.86,0.13,4.26,13,0,13,"MI-WGWTo",23.12,8.48
"5","AZ","04","Graham County","009","04009","2015",3.8,0.74,0.17,106.75,106.37,0.38,0.14,0,2.16,0,106.75,"IR-WGWFr",7.01,1522.82
"6","AZ","04","Greenlee County","011","04011","2015",1.7,0.11,0,6.1,5.98,0.12,0.1,0.02,5.22,0,6.1,"IR-WGWFr",7.15,85.31
"7","AZ","04","La Paz County","012","04012","2015",1.83,0.66,0,78.04,77.74,0.3,0.18,0,0,0,78.04,"IR-WGWFr",2.67,2922.85
"8","AZ","04","Maricopa County","013","04013","2015",189.35,5.57,1.81,953.85,904.92,48.93,13.89,0,3.5,18.73,953.85,"IR-WGWFr",232.85,409.64
"9","AZ","04","Mohave County","015","04015","2015",47.86,0.74,0.09,51.14,48.46,2.68,0.28,0.35,0.22,1.6,51.14,"IR-WGWFr",51.14,100
"10","AZ","04","Navajo County","017","04017","2015",14.5,1.15,0.23,6.08,3.66,2.42,0.83,1.44,1.42,12,14.5,"PS-WGWTo",31.57,19.26
"11","AZ","04","Pima County","019","04019","2015",175.4,2.23,2.36,60.23,51.19,9.04,0.41,0,25.58,1.81,175.4,"PS-WGWTo",207.79,28.99
"12","AZ","04","Pinal County","021","04021","2015",54.28,1.76,0.23,360.06,353.1,6.96,16.74,0,2.08,0.03,360.06,"IR-WGWFr",75.12,479.31
"13","AZ","04","Santa Cruz County","023","04023","2015",5.17,0.6,0,6.97,5.01,1.96,0.23,0,0.25,0,6.97,"IR-WGWFr",6.25,111.52
"14","AZ","04","Yavapai County","025","04025","2015",21.14,2.22,1.12,12.49,8.77,3.72,0.5,16.28,14.79,0,21.14,"PS-WGWTo",56.05,22.28
"15","AZ","04","Yuma County","027","04027","2015",10.93,1.41,0.05,109.6,107.31,2.29,3.36,0,0.08,0.28,109.6,"IR-WGWFr",16.11,680.32
