"","SECTOR_DESC","SHORT_DESC","COMMODITY_DESC","AGG_LEVEL_DESC","STATE_FIPS_CODE","STATE_ALPHA","STATE_NAME","COUNTY_CODE","COUNTY_NAME","To_acres","fips","crop","Ir_acres","Pct_irr"
"1","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","001","ADAMS",42882,"08001","CORN, GRAIN",7966,18.58
"2","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","001","BEAVER",2140,"49001","CORN, GRAIN",2140,100
"3","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",4,"AZ","ARIZONA","003","COCHISE",23292,"04003","CORN, GRAIN",23282,99.96
"4","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","003","BOX ELDER",10274,"49003","CORN, GRAIN",10274,100
"5","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","007","BUTTE",1750,"06007","CORN, GRAIN",1750,100
"6","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","009","BACA",49206,"08009","CORN, GRAIN",23794,48.36
"7","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","011","COLUSA",3460,"06011","CORN, GRAIN",3005,86.85
"8","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","011","BENT",12066,"08011","CORN, GRAIN",11393,94.42
"9","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",35,"NM","NEW MEXICO","009","CURRY",6151,"35009","CORN, GRAIN",2076,33.75
"10","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","013","DUCHESNE",2130,"49013","CORN, GRAIN",2130,100
"11","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",32,"NV","NEVADA","017","LINCOLN",2252,"32017","CORN, GRAIN",2252,100
"12","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","017","CHEYENNE",69591,"08017","CORN, GRAIN",15681,22.53
"13","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","021","IRON",1506,"49021","CORN, GRAIN",1506,100
"14","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",4,"AZ","ARIZONA","021","PINAL",1184,"04021","CORN, GRAIN",1184,100
"15","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","021","CONEJOS",39,"08021","CORN, GRAIN",39,100
"16","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","023","JUAB",735,"49023","CORN, GRAIN",735,100
"17","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","025","IMPERIAL",989,"06025","CORN, GRAIN",989,100
"18","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",32,"NV","NEVADA","027","PERSHING",3429,"32027","CORN, GRAIN",3429,100
"19","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",35,"NM","NEW MEXICO","023","HIDALGO",2539,"35023","CORN, GRAIN",2539,100
"20","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",4,"AZ","ARIZONA","025","YAVAPAI",139,"04025","CORN, GRAIN",139,100
"21","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","025","CROWLEY",217,"08025","CORN, GRAIN",203,93.55
"22","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","027","MILLARD",6027,"49027","CORN, GRAIN",6027,100
"23","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","029","KERN",275,"06029","CORN, GRAIN",275,100
"24","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","039","MADERA",623,"06039","CORN, GRAIN",623,100
"25","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","039","ELBERT",7484,"08039","CORN, GRAIN",592,7.91
"26","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","041","SEVIER",2249,"49041","CORN, GRAIN",2249,100
"27","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","041","EL PASO",5,"08041","CORN, GRAIN",5,100
"28","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",35,"NM","NEW MEXICO","041","ROOSEVELT",14284,"35041","CORN, GRAIN",3940,27.58
"29","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","047","MERCED",5490,"06047","CORN, GRAIN",5486,99.93
"30","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","047","UINTAH",2854,"49047","CORN, GRAIN",2854,100
"31","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","049","UTAH",2738,"49049","CORN, GRAIN",2738,100
"32","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","053","MONTEREY",340,"06053","CORN, GRAIN",340,100
"33","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",49,"UT","UTAH","057","WEBER",89,"49057","CORN, GRAIN",89,100
"34","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","061","KIOWA",26280,"08061","CORN, GRAIN",532,2.02
"35","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","063","KIT CARSON",209854,"08063","CORN, GRAIN",82660,39.39
"36","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","067","SACRAMENTO",11387,"06067","CORN, GRAIN",11043,96.98
"37","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","067","LA PLATA",586,"08067","CORN, GRAIN",540,92.15
"38","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","069","LARIMER",8713,"08069","CORN, GRAIN",7147,82.03
"39","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","073","LINCOLN",32484,"08073","CORN, GRAIN",1464,4.51
"40","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","077","SAN JOAQUIN",24453,"06077","CORN, GRAIN",24343,99.55
"41","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","075","LOGAN",95667,"08075","CORN, GRAIN",57127,59.71
"42","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","077","MESA",5111,"08077","CORN, GRAIN",4952,96.89
"43","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","087","MORGAN",58136,"08087","CORN, GRAIN",49410,84.99
"44","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","089","OTERO",8956,"08089","CORN, GRAIN",7861,87.77
"45","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","095","SOLANO",4468,"06095","CORN, GRAIN",4456,99.73
"46","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","097","SONOMA",12,"06097","CORN, GRAIN",12,100
"47","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",8,"CO","COLORADO","095","PHILLIPS",118783,"08095","CORN, GRAIN",59117,49.77
"48","CROPS","CORN, GRAIN - ACRES HARVESTED","CORN","COUNTY",6,"CA","CALIFORNIA","099","STANISLAUS",2456,"06099","CORN, GRAIN",2076,84.53
