"","GEOID","COUNTY_ALPHA","STATE_ALPHA","YEAR","Information Source","proportion"
"1","04003","COCHISE","ARIZONA",2018,"Extension or university ",16.51
"2","04009","GRAHAM","ARIZONA",2018,"Extension or university ",16.92
"3","04012","LA PAZ","ARIZONA",2018,"Extension or university ",13.56
"4","04013","MARICOPA","ARIZONA",2018,"Extension or university ",16.4
"5","04019","PIMA","ARIZONA",2018,"Extension or university ",20.19
"6","04021","PINAL","ARIZONA",2018,"Extension or university ",23.44
"7","04025","YAVAPAI","ARIZONA",2018,"Extension or university ",8.94
"8","04027","YUMA","ARIZONA",2018,"Extension or university ",25.49
"9","06007","BUTTE","CALIFORNIA",2018,"Extension or university ",22.11
"10","06011","COLUSA","CALIFORNIA",2018,"Extension or university ",29.23
"11","06013","CONTRA COSTA","CALIFORNIA",2018,"Extension or university ",1.18
"12","06017","EL DORADO","CALIFORNIA",2018,"Extension or university ",14.11
"13","06019","FRESNO","CALIFORNIA",2018,"Extension or university ",16.59
"14","06021","GLENN","CALIFORNIA",2018,"Extension or university ",13.91
"15","06025","IMPERIAL","CALIFORNIA",2018,"Extension or university ",5.97
"16","06029","KERN","CALIFORNIA",2018,"Extension or university ",16.69
"17","06031","KINGS","CALIFORNIA",2018,"Extension or university ",12.82
"18","06035","LASSEN","CALIFORNIA",2018,"Extension or university ",26.27
"19","06037","LOS ANGELES","CALIFORNIA",2018,"Extension or university ",6.64
"20","06039","MADERA","CALIFORNIA",2018,"Extension or university ",13.91
"21","06045","MENDOCINO","CALIFORNIA",2018,"Extension or university ",15.42
"22","06047","MERCED","CALIFORNIA",2018,"Extension or university ",18.01
"23","06049","MODOC","CALIFORNIA",2018,"Extension or university ",28.99
"24","06053","MONTEREY","CALIFORNIA",2018,"Extension or university ",26.25
"25","06055","NAPA","CALIFORNIA",2018,"Extension or university ",16.49
"26","06057","NEVADA","CALIFORNIA",2018,"Extension or university ",17.98
"27","06061","PLACER","CALIFORNIA",2018,"Extension or university ",20.53
"28","06065","RIVERSIDE","CALIFORNIA",2018,"Extension or university ",8.84
"29","06067","SACRAMENTO","CALIFORNIA",2018,"Extension or university ",26.74
"30","06069","SAN BENITO","CALIFORNIA",2018,"Extension or university ",0
"31","06071","SAN BERNARDINO","CALIFORNIA",2018,"Extension or university ",7.01
"32","06073","SAN DIEGO","CALIFORNIA",2018,"Extension or university ",15.35
"33","06077","SAN JOAQUIN","CALIFORNIA",2018,"Extension or university ",19.24
"34","06079","SAN LUIS OBISPO","CALIFORNIA",2018,"Extension or university ",23.3
"35","06083","SANTA BARBARA","CALIFORNIA",2018,"Extension or university ",22.67
"36","06085","SANTA CLARA","CALIFORNIA",2018,"Extension or university ",29.14
"37","06087","SANTA CRUZ","CALIFORNIA",2018,"Extension or university ",15.62
"38","06089","SHASTA","CALIFORNIA",2018,"Extension or university ",15.54
"39","06093","SISKIYOU","CALIFORNIA",2018,"Extension or university ",14.92
"40","06095","SOLANO","CALIFORNIA",2018,"Extension or university ",23.83
"41","06097","SONOMA","CALIFORNIA",2018,"Extension or university ",17.11
"42","06099","STANISLAUS","CALIFORNIA",2018,"Extension or university ",18.94
"43","06101","SUTTER","CALIFORNIA",2018,"Extension or university ",19.76
"44","06103","TEHAMA","CALIFORNIA",2018,"Extension or university ",27.58
"45","06107","TULARE","CALIFORNIA",2018,"Extension or university ",14.57
"46","06111","VENTURA","CALIFORNIA",2018,"Extension or university ",16.39
"47","06113","YOLO","CALIFORNIA",2018,"Extension or university ",26.33
"48","06115","YUBA","CALIFORNIA",2018,"Extension or university ",28.28
"49","08013","BOULDER","COLORADO",2018,"Extension or university ",24.32
"50","08021","CONEJOS","COLORADO",2018,"Extension or university ",2.92
"51","08029","DELTA","COLORADO",2018,"Extension or university ",20.63
"52","08043","FREMONT","COLORADO",2018,"Extension or university ",18.24
"53","08045","GARFIELD","COLORADO",2018,"Extension or university ",21.63
"54","08049","GRAND","COLORADO",2018,"Extension or university ",17.33
"55","08051","GUNNISON","COLORADO",2018,"Extension or university ",17.1
"56","08057","JACKSON","COLORADO",2018,"Extension or university ",46.97
"57","08063","KIT CARSON","COLORADO",2018,"Extension or university ",6.06
"58","08067","LA PLATA","COLORADO",2018,"Extension or university ",10.52
"59","08069","LARIMER","COLORADO",2018,"Extension or university ",17.68
"60","08075","LOGAN","COLORADO",2018,"Extension or university ",9.72
"61","08077","MESA","COLORADO",2018,"Extension or university ",18.97
"62","08083","MONTEZUMA","COLORADO",2018,"Extension or university ",13.76
"63","08085","MONTROSE","COLORADO",2018,"Extension or university ",21.82
"64","08087","MORGAN","COLORADO",2018,"Extension or university ",0.43
"65","08089","OTERO","COLORADO",2018,"Extension or university ",9.94
"66","08095","PHILLIPS","COLORADO",2018,"Extension or university ",8.68
"67","08099","PROWERS","COLORADO",2018,"Extension or university ",23.71
"68","08101","PUEBLO","COLORADO",2018,"Extension or university ",22.7
"69","08103","RIO BLANCO","COLORADO",2018,"Extension or university ",26.49
"70","08115","SEDGWICK","COLORADO",2018,"Extension or university ",19.09
"71","08123","WELD","COLORADO",2018,"Extension or university ",17.39
"72","08125","YUMA","COLORADO",2018,"Extension or university ",10.19
"73","32001","CHURCHILL","NEVADA",2018,"Extension or university ",21.25
"74","32005","DOUGLAS","NEVADA",2018,"Extension or university ",35.09
"75","32007","ELKO","NEVADA",2018,"Extension or university ",12.5
"76","32013","HUMBOLDT","NEVADA",2018,"Extension or university ",28.39
"77","32019","LYON","NEVADA",2018,"Extension or university ",20.22
"78","32027","PERSHING","NEVADA",2018,"Extension or university ",15.05
"79","32031","WASHOE","NEVADA",2018,"Extension or university ",25.13
"80","35001","BERNALILLO","NEW MEXICO",2018,"Extension or university ",20.98
"81","35005","CHAVES","NEW MEXICO",2018,"Extension or university ",9.29
"82","35013","DONA ANA","NEW MEXICO",2018,"Extension or university ",19.71
"83","35025","LEA","NEW MEXICO",2018,"Extension or university ",10.13
"84","35035","OTERO","NEW MEXICO",2018,"Extension or university ",44.52
"85","35037","QUAY","NEW MEXICO",2018,"Extension or university ",15.09
"86","35039","RIO ARRIBA","NEW MEXICO",2018,"Extension or university ",32.1
"87","35043","SANDOVAL","NEW MEXICO",2018,"Extension or university ",19.19
"88","35045","SAN JUAN","NEW MEXICO",2018,"Extension or university ",18.95
"89","35053","SOCORRO","NEW MEXICO",2018,"Extension or university ",13.87
"90","35055","TAOS","NEW MEXICO",2018,"Extension or university ",23.55
"91","35061","VALENCIA","NEW MEXICO",2018,"Extension or university ",35.16
"92","49003","BOX ELDER","UTAH",2018,"Extension or university ",13.16
"93","49005","CACHE","UTAH",2018,"Extension or university ",21.76
"94","49007","CARBON","UTAH",2018,"Extension or university ",17.47
"95","49011","DAVIS","UTAH",2018,"Extension or university ",12.5
"96","49013","DUCHESNE","UTAH",2018,"Extension or university ",10.23
"97","49021","IRON","UTAH",2018,"Extension or university ",29.82
"98","49027","MILLARD","UTAH",2018,"Extension or university ",31.7
"99","49033","RICH","UTAH",2018,"Extension or university ",14.75
"100","49035","SALT LAKE","UTAH",2018,"Extension or university ",11.85
"101","49039","SANPETE","UTAH",2018,"Extension or university ",4.45
"102","49041","SEVIER","UTAH",2018,"Extension or university ",17.15
"103","49043","SUMMIT","UTAH",2018,"Extension or university ",18.57
"104","49045","TOOELE","UTAH",2018,"Extension or university ",35.74
"105","49047","UINTAH","UTAH",2018,"Extension or university ",30.15
