"","GEOID","COUNTY_ALPHA","STATE_ALPHA","YEAR","category","proportion"
"1","04001","APACHE","ARIZONA",2018,"Condition of crop",45.81
"2","04003","COCHISE","ARIZONA",2018,"Condition of crop",41.95
"3","04009","GRAHAM","ARIZONA",2018,"Condition of crop",45.47
"4","04011","GREENLEE","ARIZONA",2018,"Condition of crop",43.97
"5","04012","LA PAZ","ARIZONA",2018,"Condition of crop",48.11
"6","04013","MARICOPA","ARIZONA",2018,"Condition of crop",43.31
"7","04015","MOHAVE","ARIZONA",2018,"Condition of crop",21.43
"8","04017","NAVAJO","ARIZONA",2018,"Condition of crop",25
"9","04019","PIMA","ARIZONA",2018,"Condition of crop",50.74
"10","04021","PINAL","ARIZONA",2018,"Condition of crop",38.36
"11","04025","YAVAPAI","ARIZONA",2018,"Condition of crop",45.91
"12","04027","YUMA","ARIZONA",2018,"Condition of crop",32.36
"13","06001","ALAMEDA","CALIFORNIA",2018,"Condition of crop",47.27
"14","06005","AMADOR","CALIFORNIA",2018,"Condition of crop",43.11
"15","06007","BUTTE","CALIFORNIA",2018,"Condition of crop",33.02
"16","06009","CALAVERAS","CALIFORNIA",2018,"Condition of crop",75.81
"17","06011","COLUSA","CALIFORNIA",2018,"Condition of crop",32.06
"18","06013","CONTRA COSTA","CALIFORNIA",2018,"Condition of crop",42.33
"19","06017","EL DORADO","CALIFORNIA",2018,"Condition of crop",33.61
"20","06019","FRESNO","CALIFORNIA",2018,"Condition of crop",33.41
"21","06021","GLENN","CALIFORNIA",2018,"Condition of crop",29.55
"22","06023","HUMBOLDT","CALIFORNIA",2018,"Condition of crop",51.74
"23","06025","IMPERIAL","CALIFORNIA",2018,"Condition of crop",35.56
"24","06027","INYO","CALIFORNIA",2018,"Condition of crop",21.28
"25","06029","KERN","CALIFORNIA",2018,"Condition of crop",34.38
"26","06031","KINGS","CALIFORNIA",2018,"Condition of crop",26.18
"27","06033","LAKE","CALIFORNIA",2018,"Condition of crop",74.44
"28","06035","LASSEN","CALIFORNIA",2018,"Condition of crop",50.77
"29","06037","LOS ANGELES","CALIFORNIA",2018,"Condition of crop",34.24
"30","06039","MADERA","CALIFORNIA",2018,"Condition of crop",30.12
"31","06041","MARIN","CALIFORNIA",2018,"Condition of crop",42.35
"32","06045","MENDOCINO","CALIFORNIA",2018,"Condition of crop",42.04
"33","06047","MERCED","CALIFORNIA",2018,"Condition of crop",35.99
"34","06049","MODOC","CALIFORNIA",2018,"Condition of crop",49.46
"35","06051","MONO","CALIFORNIA",2018,"Condition of crop",22.22
"36","06053","MONTEREY","CALIFORNIA",2018,"Condition of crop",38.13
"37","06055","NAPA","CALIFORNIA",2018,"Condition of crop",39.8
