"","fips","Total_water_use","heads","lb","COMMODITY_DESC","CLASS_DESC","UNIT_DESC","SHORT_DESC","STATE_FIPS_CODE","STATE_ALPHA","STATE_NAME","COUNTY_CODE","COUNTY_NAME"
"1","04001",19380.7962565204,17491,9474302.25,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","001","APACHE"
"2","04003",48767.7194231359,41432,23840099.64,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","04","AZ","ARIZONA","003","COCHISE"
"3","04005",34684.8346118441,24748,16955681.4,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","005","COCONINO"
"4","04007",10007.0522246088,7558,4891947.48,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","007","GILA"
"5","04009",11625.7958883093,7800,5683270.32,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","009","GRAHAM"
"6","04011",4838.88714329549,4324,2365489.98,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","011","GREENLEE"
"7","04012",5976.16569499847,3760,2921448.6,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","012","LAPAZ"
"8","04013",104917.083829396,101927,51288716.43,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","013","MARICOPA"
"9","04015",15445.0405645904,12044,7550308.08,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","015","MOHAVE"
"10","04017",13857.863270942,12035,6774416.46,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","04","AZ","ARIZONA","017","NAVAJO"
"11","04021",344932.719545873,216639,168620359.95,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","021","PINAL"
"12","04023",13259.3948450445,11483,6481855.17,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","023","SANTA CRUZ"
"13","04025",33104.557226143,24464,16183162.8,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","025","YAVAPAI"
"14","08001",11700.309481436,7764,5719696.29,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","001","ADAMS"
"15","08003",11604.1566738263,7363,5672691.99,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","003","ALAMOSA"
"16","08005",6192.41478981283,4223,3027161.97,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","005","ARAPAHOE"
"17","08007",16404.8159558147,10324,8019494.28,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","007","ARCHULETA"
"18","08009",85046.5655108929,50391,41575013.55,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","009","BACA"
"19","08011",32316.2176127647,20686,15797782.98,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","011","BENT"
"20","08013",5935.67223074563,3721,2901653.37,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","013","BOULDER"
"21","08014",170.694752991715,319,83444.13,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","014","BROOMFIELD"
"22","08015",10235.6281067812,6250,5003686.8,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","015","CHAFFEE"
"23","08017",38775.9310217858,25418,18955613.88,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","017","CHEYENNE"
"24","08021",29187.2382325867,19171,14268181.41,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","021","CONEJOS"
"25","08023",5359.32758514882,3601,2619907.29,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","023","COSTILLA"
"26","08025",111292.404173059,65452,54405291.78,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","025","CROWLEY"
"27","08027",8880.78852408714,5597,4341373.47,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","027","CUSTER"
"28","08029",39417.3724455354,25335,19269182.52,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","029","DELTA"
"29","08033",4620.56060141148,2951,2258761.05,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","033","DOLORES"
"30","08035",8911.42571340902,5680,4356350.46,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","035","DOUGLAS"
"31","08037",9030.01546486652,6024,4414323.06,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","037","EAGLE"
"32","08039",44987.6008591592,28824,21992188.68,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","039","ELBERT"
"33","08041",28011.9599263578,18399,13693646.61,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","041","EL PASO"
"34","08043",11676.0786130715,8909,5707851.03,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","043","FREMONT"
"35","08045",37319.9138386008,22711,18243839.88,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","08","CO","COLORADO","045","GARFIELD"
"36","08047",237.66406873274,154,116182.08,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","047","GILPIN"
"37","08049",16505.832463946,12937,8068876.2,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","049","GRAND"
"38","08051",29729.7818349187,18490,14533403.85,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","051","GUNNISON"
"39","08053",446.572506903958,381,218306.97,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","053","HINSDALE"
"40","08055",12801.0497084995,9728,6257793.15,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","055","HUERFANO"
"41","08057",28467.9183185026,20455,13916541.87,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","057","JACKSON"
"42","08059",1836.72997852102,1247,897885.45,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","059","JEFFERSON"
"43","08061",19222.7143909175,13153,9397023.93,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","061","KIOWA"
"44","08063",608654.892482357,368317,297540944.19,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","063","KIT CARSON"
"45","08065",870.251856397668,536,425422.62,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","065","LAKE"
"46","08067",20977.8195151887,13849,10255007.07,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","067","LA PLATA"
"47","08069",46997.801534213,31968,22974875.28,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","069","LARIMER"
"48","08071",36833.3169683952,24785,18005967,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","08","CO","COLORADO","071","LAS ANIMAS"
"49","08073",50469.0983123658,31065,24671818.71,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","08","CO","COLORADO","073","LINCOLN"
"50","08075",1088826.46762811,654769,532272818.7,"CATTLE","HEIFERS, GE 500 LBS, MILK REPLACEMENT","HEAD","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - PRODUCTION, MEASURED IN HEAD","08","CO","COLORADO","075","LOGAN"
"51","08077",56347.7399815894,34829,27545592.69,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","08","CO","COLORADO","077","MESA"
"52","08081",39538.2625958883,25359,19328279.67,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","08","CO","COLORADO","081","MOFFAT"
"53","08083",27198.5478981283,18662,13296010.14,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","083","MONTEZUMA"
"54","08085",64016.5185639767,39346,31294475.1,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","085","MONTROSE"
"55","08087",671684.033445842,413670,328352739.75,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","087","MORGAN"
"56","08089",213741.553053084,130804,104487558.21,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","089","OTERO"
"57","08091",5507.39337220006,3313,2692289.25,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","091","OURAY"
"58","08093",7225.31837987113,4985,3532096.89,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","093","PARK"
"59","08095",123991.786560295,75960,60613384.86,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","08","CO","COLORADO","095","PHILLIPS"
"60","08097",2452.65823872353,1766,1198981.98,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","097","PITKIN"
"61","08099",281621.617980976,160819,137670727.95,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","099","PROWERS"
"62","08101",50181.8848112918,32241,24531414.39,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","101","PUEBLO"
"63","08103",24523.2020251611,16155,11988167.31,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","103","RIO BLANCO"
"64","08105",12701.0255293035,7527,6208896.33,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","105","RIO GRANDE"
"65","08107",40503.7638539429,25861,19800264.96,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","107","ROUTT"
"66","08109",25094.7306535747,17036,12267559.08,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","08","CO","COLORADO","109","SAGUACHE"
"67","08113",9831.67161706045,5919,4806212.67,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","08","CO","COLORADO","113","SAN MIGUEL"
"68","08115",26756.0465173366,15837,13079693.34,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","08","CO","COLORADO","115","SEDGWICK"
"69","08117",1228.06762810678,1218,600340.86,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","08","CO","COLORADO","117","SUMMIT"
"70","08119",1607.71334765265,1172,785930.67,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","08","CO","COLORADO","119","TELLER"
